date,mu,kappa_P,theta_P,xi,rho,lambda
27-Apr-2026,0.267035,0.0845563,0.312823,0.10616,-0.700316,0.127253,
28-Apr-2026,0.265573,0.0871006,0.317086,0.105219,-0.691605,0.127417,
29-Apr-2026,0.26821,0.0940737,0.318488,0.109682,-0.685465,0.127169,
30-Apr-2026,0.267057,0.09476,0.322254,0.109032,-0.694294,0.124248,
04-May-2026,0.266323,0.0973436,0.327139,0.110333,-0.692917,0.127569,
05-May-2026,0.129122,0.147946,0.467736,0.128065,-0.915204,0.0942031,
06-May-2026,0.126735,0.152286,0.465274,0.128658,-0.912969,0.0985527,
07-May-2026,0.125049,0.157651,0.46907,0.131267,-0.904196,0.105284,
08-May-2026,0.126594,0.16096,0.480979,0.13271,-0.907066,0.102951,
11-May-2026,0.127491,0.164409,0.486238,0.13589,-0.90526,0.110509,
12-May-2026,0.1254,0.172024,0.499578,0.135014,-0.906469,0.108437,
13-May-2026,0.125068,0.1715,0.51248,0.134753,-0.907806,0.108118,
14-May-2026,0.124931,0.177012,0.507994,0.138005,-0.91116,0.110098,
15-May-2026,0.12587,0.180376,0.49653,0.141302,-0.910394,0.108204,
18-May-2026,0.126074,0.188754,0.499861,0.145374,-0.907281,0.108632,
19-May-2026,0.125242,0.196378,0.498603,0.147585,-0.907339,0.107806,
20-May-2026,0.238408,0.248991,0.650439,0.370956,-0.845464,0.200704,
21-May-2026,0.238735,0.25103,0.652242,0.382038,-0.845466,0.199594,
22-May-2026,0.235714,0.255821,0.65301,0.383766,-0.85218,0.205948,
25-May-2026,0.236456,0.260212,0.650982,0.39531,-0.842542,0.200446,
26-May-2026,0.234493,0.258798,0.640039,0.391026,-0.848062,0.198115,
27-May-2026,0.228191,0.233279,0.706875,0.652149,-0.930941,0.0746419,
28-May-2026,0.227157,0.239658,0.706872,0.660868,-0.92832,0.0739699,
29-May-2026,0.287703,0.216405,0.416424,1.08965,-0.952431,0.0568003,
01-Jun-2026,0.284917,0.216874,0.427145,1.10578,-0.953614,0.0538731,
02-Jun-2026,0.282781,0.22334,0.435997,1.11082,-0.952693,0.056265,
03-Jun-2026,0.282581,0.221915,0.441389,1.10484,-0.949691,0.0606973,
04-Jun-2026,0.262983,0.141805,0.415396,0.612493,-0.988982,0.096365,
05-Jun-2026,0.259801,0.146156,0.415866,0.617075,-0.988983,0.0980794,
08-Jun-2026,0.2591,0.14393,0.419332,0.619165,-0.988783,0.0949463,
09-Jun-2026,0.259241,0.150066,0.419102,0.625822,-0.988832,0.0987804,
10-Jun-2026,0.260679,0.149872,0.416651,0.628776,-0.98845,0.100232,
11-Jun-2026,0.260552,0.154191,0.416504,0.63716,-0.98837,0.0988379,
12-Jun-2026,0.258369,0.15349,0.425201,0.630549,-0.989039,0.0982666,
15-Jun-2026,0.258615,0.155525,0.426393,0.640727,-0.987986,0.0973168,
16-Jun-2026,0.258513,0.15748,0.424969,0.636923,-0.987862,0.0996682,
17-Jun-2026,0.255895,0.160379,0.421523,0.659658,-0.987681,0.105958,
18-Jun-2026,0.254917,0.1627,0.407839,0.660769,-0.988251,0.104522,
19-Jun-2026,0.262313,0.147702,0.433639,0.926349,-0.986259,0.122754,
22-Jun-2026,0.255836,0.192204,0.158665,0.680273,-0.994482,0.137678,
23-Jun-2026,0.207065,0.229176,0.138887,0.345762,-0.994617,0.239011,
24-Jun-2026,0.205444,0.225431,0.142458,0.341971,-0.995379,0.236116,
25-Jun-2026,0.204893,0.22879,0.143196,0.346758,-0.995507,0.226137,
26-Jun-2026,0.204704,0.23134,0.148231,0.350081,-0.995671,0.224128,
29-Jun-2026,0.204736,0.243359,0.149359,0.357941,-0.995744,0.220045,
30-Jun-2026,0.200257,0.246207,0.14795,0.351839,-0.995405,0.216368,
01-Jul-2026,0.202676,0.243025,0.149186,0.356352,-0.995242,0.220946,
02-Jul-2026,0.20522,0.250014,0.153283,0.357027,-0.99503,0.224802,
03-Jul-2026,0.205233,0.253813,0.151798,0.352075,-0.994897,0.227065,
06-Jul-2026,0.205557,0.254581,0.153975,0.355013,-0.995504,0.217362,
07-Jul-2026,0.203227,0.255248,0.159233,0.364652,-0.995397,0.220884,
08-Jul-2026,0.202411,0.256605,0.164222,0.369876,-0.995335,0.231818,
09-Jul-2026,0.19958,0.265356,0.165647,0.373069,-0.995051,0.245857,
10-Jul-2026,0.199183,0.267449,0.169012,0.374158,-0.994815,0.243697,
13-Jul-2026,0.198361,0.274808,0.170775,0.373831,-0.9951,0.228951,
14-Jul-2026,0.195519,0.275884,0.171168,0.385044,-0.995072,0.234261,
15-Jul-2026,0.193682,0.272549,0.173818,0.385251,-0.994854,0.236234,
16-Jul-2026,0.191087,0.26369,0.171243,0.38194,-0.994541,0.240774,
17-Jul-2026,0.181097,0.180375,0.193026,0.404527,-0.99517,0.866994,
20-Jul-2026,0.157087,0.195205,0.277355,0.314543,-0.986113,0.859374,
21-Jul-2026,0.155164,0.200065,0.277808,0.316102,-0.984248,0.845799,
22-Jul-2026,0.152448,0.209498,0.276892,0.324156,-0.984005,0.84824,
23-Jul-2026,0.189909,0.291901,0.447463,0.146411,-0.967162,0.763944,
24-Jul-2026,0.188557,0.280141,0.446396,0.146732,-0.966702,0.764674,
27-Jul-2026,0.188019,0.285624,0.450874,0.149794,-0.967016,0.766255,
28-Jul-2026,0.184842,0.281343,0.457899,0.155955,-0.966671,0.764403,
29-Jul-2026,0.185071,0.289015,0.469793,0.156939,-0.966185,0.734268,
30-Jul-2026,0.187093,0.293042,0.475177,0.156589,-0.963944,0.733848,
31-Jul-2026,0.185828,0.288636,0.475891,0.156603,-0.966328,0.734331,
03-Aug-2026,0.183581,0.28923,0.472829,0.161242,-0.967629,0.737438,
04-Aug-2026,0.180097,0.292707,0.476689,0.166045,-0.967404,0.746266,
05-Aug-2026,0.250238,0.116511,0.828998,0.160968,-0.941069,0.591423,
06-Aug-2026,0.24773,0.117031,0.815923,0.161504,-0.938933,0.576655,
07-Aug-2026,0.244446,0.120669,0.813436,0.16558,-0.940294,0.591458,
10-Aug-2026,0.242619,0.122676,0.809548,0.163816,-0.938748,0.591929,
11-Aug-2026,0.244999,0.124886,0.815829,0.16192,-0.933347,0.592691,
12-Aug-2026,0.244471,0.129306,0.810794,0.164214,-0.932764,0.581942,
13-Aug-2026,0.242513,0.128547,0.825235,0.156619,-0.92807,0.577831,
14-Aug-2026,0.212241,0.12332,0.447889,0.190201,-0.995352,0.21947,
17-Aug-2026,0.213714,0.129464,0.446503,0.19616,-0.994843,0.223419,
18-Aug-2026,0.214331,0.129993,0.451418,0.200335,-0.994728,0.222873,
19-Aug-2026,0.212538,0.13209,0.456168,0.198377,-0.994667,0.221733,
20-Aug-2026,0.210889,0.133275,0.441731,0.204981,-0.99511,0.223666,
21-Aug-2026,0.210767,0.134299,0.450255,0.202207,-0.995316,0.232656,
24-Aug-2026,0.292296,0.23242,0.622378,0.111278,-0.99144,0.258382,
25-Aug-2026,0.290213,0.236384,0.629004,0.111669,-0.991167,0.269185,
26-Aug-2026,0.288503,0.239743,0.626504,0.112199,-0.991262,0.26422,
27-Aug-2026,0.262385,0.578924,1.23207,0.0674852,-0.997478,0.113537,
